GH 9880399 0.0022849461 -2.6411240496
PL 9812226 0.0022691803 -2.6441309897
EB 9738798 0.0022521993 -2.6473931731
IG 9530574 0.0022040454 -2.6567794738
VI 9380037 0.0021692321 -2.6636939796
IV 9129232 0.0021112308 -2.675464287
WO 9106647 0.0021060078 -2.6765400288
YO 9088497 0.0021018104 -2.6774064634
RD 9025637 0.0020872734 -2.6804206698
TW 8910254 0.0020605898 -2.686008448
BA 8867461 0.0020506935 -2.6880992451
AG 8809266 0.0020372353 -2.6909588072
RY 8788539 0.002032442 -2.6919818476
AB 8775582 0.0020294455 -2.6926226027
LS 8675452 0.0020062894 -2.6976064214
SW 8673234 0.0020057765 -2.6977174678
AP 8553911 0.0019781818 -2.7037338047
FE 8529289 0.0019724877 -2.7049857007
TU 8477495 0.0019605098 -2.7076309891
CI 8446084 0.0019532456 -2.7092431364
FA 8357929 0.0019328589 -2.7137998531
HT 8351551 0.0019313839 -2.7141313932
FR 8339376 0.0019285683 -2.714764976
AV 8288885 0.0019168917 -2.7174024185
EG 8286463 0.0019163316 -2.7175293366
GO 8188708 0.0018937247 -2.7226831471
BO 8172395 0.0018899522 -2.723549182
BU 8113271 0.0018762791 -2.7267025498
TY 8008918 0.0018521464 -2.7323246835
MP 7835172 0.0018119658 -2.7418499965
OC 7646952 0.001768438 -2.7524101665
OD 7610214 0.0017599419 -2.7545016617
EH 7559141 0.0017481308 -2.7574260853
YS 7539621 0.0017436166 -2.7585490174
EY 7528342 0.0017410082 -2.7591991909
RM 7377989 0.0017062375 -2.7679605275
OV 7350014 0.0016997679 -2.7696103664
GT 7347990 0.0016992999 -2.7697299758
YA 7239548 0.0016742215 -2.7761870801
CK 7205091 0.001666253 -2.7782590609
GI 7103140 0.0016426757 -2.7844481567
RN 7064635 0.0016337711 -2.7868088038
GR 6989963 0.0016165024 -2.7914236543
RC 6974063 0.0016128253 -2.7924126644
BL 6941044 0.0016051893 -2.7944737331
LT 6817273 0.001576566 -2.8022878464
YT 6714151 0.001552718 -2.8089074264
OA 6554221 0.0015157325 -2.8193774516
YE 6499305 0.0015030326 -2.8230316141
OB 6212512 0.0014367087 -2.8426312904
DB 6106719 0.0014122429 -2.8500905938
FF 6085519 0.0014073402 -2.8516009098
SF 6073995 0.0014046752 -2.8524241006
RR 5896212 0.001363561 -2.8653254415
DU 5861311 0.0013554897 -2.8679037653
KI 5814357 0.0013446311 -2.8713968385
UC 5742385 0.0013279869 -2.8768062254
IF 5740414 0.001327531 -2.8769553156
AF 5702567 0.0013187785 -2.8798281352
DR 5701879 0.0013186194 -2.8798805358
CL 5683204 0.0013143006 -2.8813052872
EX 5649363 0.0013064745 -2.8838990492
SM 5580755 0.0012906082 -2.8892055732
PI 5559210 0.0012856257 -2.8908854511
SB 5553684 0.0012843478 -2.8913173674
CR 5514347 0.0012752507 -2.8944044396
TL 5403137 0.0012495322 -2.9032525513
OI 5336616 0.0012341485 -2.9086325768
RU 5330557 0.0012327473 -2.90912594
UP 5306948 0.0012272875 -2.9110536997
BY 5232074 0.0012099721 -2.9172246545
TC 5196817 0.0012018185 -2.9201611078
NN 5180899 0.0011981373 -2.9214934041
AK 5137311 0.0011880571 -2.925162675
SL 4965012 0.0011482112 -2.9399782288
NF 4950333 0.0011448165 -2.941264116
UE 4927837 0.0011396141 -2.9432421975
DW 4906814 0.0011347523 -2.945098936
AU 4884168 0.0011295152 -2.9471079396
PP 4873393 0.0011270233 -2.9480670976
UG 4832325 0.0011175259 -2.951742395
RL 4803246 0.0011108011 -2.9543637028
RG 4645938 0.001074422 -2.9688251237
BR 4621080 0.0010686733 -2.9711550451
CU 4604045 0.0010647338 -2.9727589713
UA 4589997 0.001061485 -2.9740861304
DH 4585765 0.0010605063 -2.9744867349
RK 4491400 0.0010386834 -2.9835167966
YI 4461214 0.0010317026 -2.986445475
LU 4402940 0.0010182261 -2.9921557664
UM 4389720 0.0010151689 -2.9934617126
